24Hours,Year,JulianDay,Time,Air Temp(¡É),RH(%),Wind Dir(Deg),Wind Spd<m/s),Gust(m/s),GustTime,Solar Rad(W/§³),Pressure(hPa),Visibility(km),Rain(mm)
100,2010,1,100,-12.12,77,193.9,10.64,1.287,4,1.402,1023,12.72,0
100,2010,1,200,-11.57,81.6,192,23.48,1.025,122,1.321,1023,12.68,0
100,2010,1,300,-10.85,81.5,184.8,19.52,1.237,254,1.099,1024,12.66,0
100,2010,1,400,-10.72,69.94,161.8,20.17,1.2,313,1.25,1023,12.63,0
100,2010,1,500,-11.72,69.29,174,1.676,0.8,457,1.512,1023,12.61,0
100,2010,1,600,-12.24,76.3,174.1,5.936,0.875,528,1.207,1023,12.58,0
100,2010,1,700,-13.11,81.8,0,0,0,601,1.415,1023,12.54,0
100,2010,1,800,-13.44,83.8,0,0,0,701,4.226,1024,12.5,0
100,2010,1,900,-13.22,85,0,0,0,801,38.74,1024,12.49,0
100,2010,1,1000,-9.55,69.03,186.7,12.24,0.95,917,203.8,1023,14.4,0
100,2010,1,1100,-7.27,50.58,275.3,40.47,1.55,1033,324.9,1023,14.32,0
100,2010,1,1200,-5.26,43.37,317,75.9,2.112,1150,407.8,1022,14.24,0
100,2010,1,1300,-4.42,44.46,5.086,62.67,2.987,1211,443.8,1021,14.21,0
100,2010,1,1400,-3.133,44,292.8,63.88,2.575,1305,417,1021,14.18,0
100,2010,1,1500,-1.941,45.28,269.4,75.1,2.525,1440,340.2,1020,14.14,0
100,2010,1,1600,-1.148,48.46,227.7,46.35,2.812,1539,220,1021,14.13,0
100,2010,1,1700,-1.109,50.84,207.9,30.18,1.425,1620,83.3,1021,13.77,0
100,2010,1,1800,-2.372,60.87,153.9,14.22,1.237,1724,5.753,1020,13.5,0
100,2010,1,1900,-3.614,67.69,0,0,0,1801,1.078,1020,13.34,0
100,2010,1,2000,-4.911,75,0,0,0,1901,0.984,1020,13.2,0
100,2010,1,2100,-5.25,74.8,0,0,0,2001,0.998,1020,13.07,0
100,2010,1,2200,-6.137,79.9,0,0,0,2101,1.216,1020,12.96,0
100,2010,1,2300,-6.721,79.1,0,0,0,2201,1.277,1020,12.85,0
100,2010,1,2400,-7.3,82.4,0,0,0,2301,1.078,1020,12.77,0
100,2010,2,100,-6.901,80,0,0,0,1,1.236,1019,12.73,0
100,2010,2,200,-6.809,79.6,0,0,0,101,1.263,1019,12.7,0
100,2010,2,300,-6.529,82.2,0,0,0,201,1.357,1019,12.68,0
100,2010,2,400,-6.089,84,0,0,0,301,1.193,1018,12.67,0
100,2010,2,500,-5.284,82.5,9.56,4.409,0.312,429,0.894,1017,12.64,0
100,2010,2,600,-5.189,83.9,356.3,3.273,0.975,546,1.364,1016,12.62,0
100,2010,2,700,-4.906,86.1,0,0,0,601,0.968,1016,12.6,0
100,2010,2,800,-4.678,86.6,0,0,0,701,1.848,1015,12.57,0
100,2010,2,900,-4.166,86.4,8.08,16.37,1.462,844,38.36,1015,12.56,0
100,2010,2,1000,-2.65,82.3,191.7,6.945,3.45,1000,90.2,1015,13.2,0
100,2010,2,1100,-1.213,79,359.2,55.16,3.287,1002,157.4,1015,14.2,0
100,2010,2,1200,0.13,74.8,254.7,79.9,2.062,1112,88.9,1014,13.6,0
100,2010,2,1300,0.928,76.5,231.8,30.92,1.15,1203,55.95,1013,13.44,0
100,2010,2,1400,1.77,76.7,198.6,45.94,1.337,1352,66.82,1013,13.59,0
100,2010,2,1500,2.308,77.8,329.2,67.88,1.787,1444,95.2,1014,13.5,0
100,2010,2,1600,1.8,81.7,320.5,26.13,5.062,1516,90.8,1015,13.73,0
100,2010,2,1700,1.36,77,330.5,29.79,4.187,1621,53.81,1016,13.57,0
100,2010,2,1800,0.566,78.7,315.4,18.21,3.462,1736,5.574,1017,13.38,0
100,2010,2,1900,-0.102,77.2,338.8,36.77,3.662,1859,1.256,1018,13.22,0
100,2010,2,2000,-0.537,73.7,328.3,32.59,3.862,1920,0.843,1019,13.09,0
100,2010,2,2100,-1.008,72.2,325,32.69,3.35,2025,1.666,1020,12.97,0
100,2010,2,2200,-1.578,72.7,324.6,50.78,2.725,2106,1.38,1020,12.86,0
100,2010,2,2300,-1.718,67.7,311.4,42.14,2.425,2218,1.441,1020,12.8,0
100,2010,2,2400,-2.224,69.88,16.49,57.33,2.937,2304,1.202,1021,12.76,0
100,2010,3,100,-3.324,72.6,1.227,62.99,3.687,44,1.276,1021,12.72,0
100,2010,3,200,-4.142,71.9,341.6,46.42,3.612,137,1.24,1021,12.7,0
100,2010,3,300,-4.404,71.2,332.5,33.23,4.187,247,1.109,1021,12.67,0
100,2010,3,400,-4.888,72.4,336.4,50.59,4.412,309,1.156,1021,12.64,0
100,2010,3,500,-5.387,75.3,345.3,52.47,3.387,412,1.045,1021,12.6,0
100,2010,3,600,-6.406,78.5,29.79,39.56,1.487,531,0.978,1022,12.58,0
100,2010,3,700,-7.64,82.8,99.6,9.68,0.762,605,1.233,1022,12.53,0
100,2010,3,800,-7.58,81.5,66.62,20.01,1.325,746,4.311,1023,12.5,0
100,2010,3,900,-8.05,84.2,0,0,0,801,40.57,1023,12.49,0
100,2010,3,1000,-6.148,75.2,315.3,22.72,2.875,950,193.1,1024,14.32,0
100,2010,3,1100,-5.202,68.26,314.6,31.6,3.725,1014,324.8,1023,14.27,0
100,2010,3,1200,-4.126,55.67,322.9,40.39,4.512,1114,424.9,1022,14.22,0
100,2010,3,1300,-2.807,38.41,342.9,38.75,3.225,1216,467.9,1021,14.18,0
100,2010,3,1400,-1.686,35.4,350.9,44.73,3.212,1354,447.3,1021,14.14,0
100,2010,3,1500,-0.983,32.03,332.7,37.5,3.387,1446,363.9,1021,14.12,0
100,2010,3,1600,-0.855,32.8,317.9,45.47,2.962,1502,220.2,1020,14.11,0
100,2010,3,1700,-1.14,34.03,352.7,43.37,1.912,1622,83.6,1020,13.75,0
100,2010,3,1800,-2.656,42.68,59.87,14.04,0.637,1753,5.756,1021,13.48,0
100,2010,3,1900,-3.635,44.39,65.65,5.522,0.562,1827,0.191,1020,13.32,0
100,2010,3,2000,-3.739,44.55,0.629,1.164,0.462,1950,0.245,1020,13.19,0
100,2010,3,2100,-3.971,55.82,323.3,5.161,1.75,2023,0.363,1020,13.06,0
100,2010,3,2200,-3.702,50.42,0,0,0,2101,0.198,1020,12.95,0
100,2010,3,2300,-3.821,49.14,0,0,0,2201,0.279,1020,12.85,0
100,2010,3,2400,-3.802,48.15,0,0,0,2301,0.242,1019,12.79,0
100,2010,4,100,-3.774,46.73,348.1,30.53,1.85,52,0.235,1018,12.75,0
100,2010,4,200,-3.747,46.12,334.8,12.46,1.712,110,0.222,1019,12.73,0
100,2010,4,300,-3.776,50.68,330,30.05,2.325,254,0.249,1019,12.7,0
100,2010,4,400,-4.148,64.86,307.4,30.45,2.25,318,0.437,1017,12.68,0
100,2010,4,500,-4.172,70.1,307.7,2.659,1.787,406,0.974,1015,12.66,0
100,2010,4,600,-4.742,86.2,327,4.389,1.837,511,1.048,1014,12.64,0
100,2010,4,700,-4.595,89.3,0,0,0,601,1.401,1012,12.6,0
100,2010,4,800,-4.564,91.7,0,0,0,701,1.119,1011,12.56,0
100,2010,4,900,-4.492,93.6,0,0,0,801,2.503,1011,12.54,0
100,2010,4,1000,-4.152,94.8,339.2,8.98,0.325,954,11.62,1010,12.52,0
100,2010,4,1100,-3.484,94.7,333.3,18.69,1.712,1026,23.05,1009,12.52,0
100,2010,4,1200,-3.614,94.7,314.7,17.04,1.412,1112,25.56,1008,12.51,0
100,2010,4,1300,-3.158,94.6,0,0,0,1201,20.85,1007,12.51,0
100,2010,4,1400,-2.171,94,219.1,0.517,0.225,1314,37.49,1007,12.54,0
100,2010,4,1500,-0.702,90.8,216.4,48.57,2.925,1454,65.8,1007,13.02,0
100,2010,4,1600,-1.692,92.7,337.4,33.38,3.337,1558,24.16,1009,13.43,0
100,2010,4,1700,-2.626,85.2,330.2,30.32,4.825,1643,21.52,1011,13.2,0
100,2010,4,1800,-2.652,82.2,336,29.81,4.5,1720,1.948,1013,13.06,0
100,2010,4,1900,-2.757,84.1,327.6,44.57,5.762,1843,1.172,1014,12.94,0
100,2010,4,2000,-3.066,87.4,14.19,30.9,3.65,1903,1.343,1015,12.85,0
100,2010,4,2100,-3.453,92.2,315.3,32.23,0.962,2031,1.155,1016,12.78,0
100,2010,4,2200,-3.253,85.1,350.5,23.39,2.15,2150,1.085,1016,12.72,0
100,2010,4,2300,-3.61,82.3,86.8,1.513,1.612,2205,1.132,1016,12.67,0
100,2010,4,2400,-4.006,81.7,316.5,29.52,2.362,2352,1.135,1017,12.62,0
100,2010,5,100,-4.292,77.3,325.7,26.22,2.537,2,0.947,1017,12.58,0
100,2010,5,200,-4.945,87.5,355.9,29.3,1.487,136,1.159,1018,12.54,0
100,2010,5,300,-5.82,89.3,350.1,18.49,1.062,201,0.756,1019,12.52,0
100,2010,5,400,-6.24,90.3,0,0,0,301,0.954,1020,12.52,0
100,2010,5,500,-6.355,90.6,356.6,11.08,0.825,452,1.025,1020,12.51,0
100,2010,5,600,-6.203,82,348.9,37.23,3,545,0.897,1020,12.51,0
100,2010,5,700,-6.102,77.4,333.3,38.68,3.812,609,1.005,1021,12.51,0
100,2010,5,800,-6.484,78.1,322.3,27.68,3.65,750,2.022,1021,12.5,0
100,2010,5,900,-6.501,78.9,355.3,42.11,2.962,820,22.08,1022,12.5,0
100,2010,5,1000,-6.187,82.1,330.7,19.64,2.137,959,74.6,1023,12.51,0
100,2010,5,1100,-5.904,79.4,346,38.41,2.687,1059,164.4,1023,13.58,0
